HIP,HD,Teff,logg,NaH,SiH,TiH,FeH,NiH
116085,HD221354,5133,4.37,0.05,0.06,0.01,0.01,0
116106,HD221356,5976,4.31,-0.29,-0.22,-0.18,-0.26,-0.29
116250,HD221420,5830,4.08,0.42,0.33,0.32,0.34,0.43
116421,HD221830,5740,4.40,-0.37,-0.16,-0.06,-0.4,-0.37
116542,HD222033,5991,4.26,0.2,0.17,0.2,0.19,0.2
116613,HD222143,5869,4.45,0.01,0.09,0.06,0.15,0.1
116745,HD222237,4723,4.69,-0.28,-0.09,-0.18,-0.29,-0.27
116763,HD222335,5231,4.54,-0.2,-0.17,-0.17,-0.17,-0.21
116771,HD222368,6204,4.18,-0.09,-0.06,-0.04,-0.09,-0.16
116852,HD222480,5833,4.24,0.2,0.17,0.18,0.18,0.19
116906,HD222582,5727,4.34,-0.01,0,0,-0.03,-0.03
116984,HD222697,5361,4.41,0.01,0.12,0.1,0.16,0.1
117258,HD223084,6083,4.33,-0.22,-0.15,-0.17,-0.13,-0.22
117320,HD223171,5862,4.21,0.15,0.1,0.13,0.12,0.12
117367,HD223238,5844,4.39,0.04,0.03,0.04,0.02,0.03
117427,HD223315,5606,4.34,0.29,0.28,0.25,0.3,0.31
117526,HD223498,5628,4.58,0.17,0.18,0.17,0.23,0.18
117668,HD223691,5506,4.08,-0.22,-0.16,-0.08,-0.17,-0.19
117953,HD224156,5496,4.58,-0.05,0.02,0.04,-0.03,-0.06
118115,HD224383,5754,4.31,-0.14,-0.05,0,-0.04,-0.09
