Name,Teff,log(g),[Na/H],[Si/H],[Ti/H],[Fe/H],[Ni/H]
HD150433,5649,4.56,-0.30,-0.16,-0.09,-0.38,-0.33
HD150248,5694,4.45,-0.12,-0.04,-0.08,-0.11,-0.11
HD150437,5811,4.30,0.42,0.29,0.26,0.30,0.36
HD151044,6096,4.30,-0.07,-0.01,-0.05,0.01,-0.04
HD151541,5332,4.57,-0.22,-0.16,-0.16,-0.19,-0.22
HD150474,5459,4.13,-0.04,0.01,0.06,0.05,0.02
HD150933,6114,4.26,0.21,0.15,0.15,0.15,0.17
HD150698,5878,4.12,0.28,0.20,0.21,0.24,0.25
HD151090,5060,3.86,-0.28,-0.24,-0.07,-0.20,-0.24
HD151877,5212,4.54,-0.12,-0.14,-0.13,-0.14,-0.18
HD151337,5056,3.71,-0.05,-0.12,-0.02,-0.02,-0.02
HD151995,4832,4.72,0.13,0.15,0.02,0.04,0.00
HD152446,6216,4.12,-0.11,-0.06,-0.01,-0.07,-0.14
HD152391,5479,4.57,-0.06,-0.03,0.00,0.04,-0.07
HD152792,5698,4.03,-0.33,-0.26,-0.15,-0.31,-0.34
HD152555,5967,4.46,-0.26,-0.02,-0.04,0.05,-0.07
HD153458,5907,4.59,0.09,0.10,0.13,0.16,0.10
HD153627,5943,4.34,-0.29,-0.22,-0.20,-0.29,-0.33
HD153075,5781,4.48,-0.43,-0.29,-0.21,-0.55,-0.50
HD154345,5468,4.54,-0.10,-0.10,-0.13,-0.10,-0.14
HD154160,5650,4.12,0.51,0.35,0.37,0.43,0.47
HD154088,5409,4.46,0.43,0.29,0.27,0.31,0.34
HD154417,5989,4.30,-0.05,0.00,-0.02,0.04,-0.05
HD155060,6009,4.37,-0.13,-0.09,-0.09,-0.11,-0.16
HD154962,5784,4.10,0.48,0.30,0.28,0.33,0.39
HD154577,4881,4.61,-0.67,-0.54,-0.55,-0.69,-0.68
HD154857,5606,3.99,-0.24,-0.19,-0.15,-0.22,-0.23
HD155423,6210,4.22,0.42,0.29,0.29,0.32,0.33
HD155974,6275,4.19,-0.22,-0.12,-0.12,-0.17,-0.25
HD156365,5856,4.09,0.43,0.27,0.28,0.29,0.34
HD156274,5256,4.61,-0.35,-0.24,-0.23,-0.34,-0.35
HD156826,5249,3.79,-0.18,-0.24,-0.04,-0.13,-0.17
