Star,Teff,logg,[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[ScI/H],[ScII/H],[TiI/H],[TiII/H],[V/H],[CrI/H],[CrII/H],[Mn/H],[Co/H],[Ni/H]
HD213240,5982,4.27,0.14,0.200,0.157,0.175,0.153,0.137,0.187,0.230,0.163,0.193,0.144,0.124,0.080,0.085,0.182,0.164
HD213575,5671,4.18,-0.15,-0.035,0.070,0.075,-0.021,-0.023,0.010,0.023,0.042,0.037,-0.034,-0.128,-0.160,-0.280,-0.036,-0.122
HD213628,5555,4.44,0.01,0.090,0.017,0.045,0.020,-0.011,0.070,0.035,0.063,-0.012,0.109,0.023,0.010,0.018,0.067,0.031
HD213852,4943,4.24,0.15,0.340,0.130,0.295,0.115,0.098,0.410,0.132,0.290,0.132,0.679,0.161,0.103,0.230,0.357,0.183
HD213941,5532,4.41,-0.46,-0.325,-0.177,-0.165,-0.258,-0.273,-0.273,-0.275,-0.180,-0.205,-0.296,-0.427,-0.407,-0.575,-0.311,-0.416
HD214094,6288,4.28,-0.01,-0.005,-0.030,-0.100,-0.015,0.025,0.060,0.055,0.010,0.037,-0.031,-0.032,0.010,-0.098,-0.061,-0.041
HD21411,5473,4.51,-0.26,-0.270,-0.223,-0.245,-0.239,-0.225,-0.263,-0.280,-0.175,-0.272,-0.196,-0.229,-0.267,-0.295,-0.273,-0.298
HD214383,4876,4.47,-0.16,-0.210,-0.133,-0.205,-0.186,-0.142,-0.020,-0.260,0.000,-0.112,0.236,-0.125,-0.200,-0.235,-0.151,-0.228
HD214385,5654,4.43,-0.34,-0.325,-0.257,-0.250,-0.289,-0.293,-0.303,-0.295,-0.276,-0.308,-0.325,-0.335,-0.320,-0.438,-0.317,-0.360
HD214759,5461,4.37,0.18,0.235,0.247,0.250,0.200,0.132,0.273,0.170,0.238,0.130,0.378,0.199,0.117,0.303,0.293,0.227
HD214867,5807,4.66,0.01,-0.270,-0.097,-0.015,-0.053,0.046,0.040,-0.030,0.043,0.002,0.070,0.038,-0.010,-0.023,-0.078,-0.060
HD214954,5738,4.48,0.14,0.220,0.117,0.020,0.173,0.128,0.063,0.283,0.195,0.257,0.233,0.158,0.307,0.273,0.347,0.216
HD214998,4847,4.37,0.06,0.230,0.260,0.210,0.080,0.093,0.383,0.007,0.202,0.113,0.581,0.076,0.070,0.075,0.207,0.091
HD215152,4935,4.40,-0.10,0.180,-0.043,0.055,-0.061,0.014,0.260,-0.153,0.102,-0.148,0.495,-0.026,-0.117,-0.068,0.050,-0.062
HD215257,6052,4.46,-0.63,-0.560,-0.507,-0.650,-0.532,-0.499,99.99,-0.528,-0.506,-0.497,-0.550,-0.631,-0.593,-0.808,-0.663,-0.657
HD215456,5789,4.10,-0.09,-0.070,-0.030,-0.055,-0.056,-0.034,-0.037,-0.030,-0.052,-0.027,-0.101,-0.083,-0.093,-0.160,-0.090,-0.100
HD215497,5110,4.40,0.20,0.395,0.310,0.475,0.244,0.193,0.633,0.262,0.400,0.308,0.750,0.249,0.180,0.248,0.519,0.255
HD215625,6282,4.58,0.10,0.110,0.077,0.020,0.121,0.143,0.243,0.168,0.107,0.137,0.129,0.102,0.107,0.040,0.093,0.091
HD215722,4728,4.40,-0.10,0.295,-0.177,0.010,-0.156,-0.051,0.367,-0.260,0.110,-0.173,0.429,-0.056,-0.157,-0.225,-0.013,-0.120
HD215902,5454,4.46,-0.25,-0.300,-0.267,-0.300,-0.240,-0.196,-0.237,-0.205,-0.192,-0.230,-0.200,-0.239,-0.230,-0.278,-0.219,-0.311
HD215906,6259,4.56,-0.28,-0.310,-0.310,-0.495,-0.227,-0.173,99.99,-0.242,-0.234,-0.190,-0.230,-0.274,-0.250,-0.395,-0.338,-0.327
HD216008,5773,4.38,-0.04,0.010,-0.017,0.005,-0.024,-0.020,-0.003,0.023,-0.027,-0.033,-0.038,-0.030,-0.037,-0.025,-0.003,-0.034
HD216215,5220,4.45,-0.20,-0.180,-0.190,-0.075,-0.197,-0.149,-0.107,-0.237,-0.071,-0.230,0.038,-0.153,-0.223,-0.220,-0.137,-0.221
HD216435,6008,4.20,0.24,0.325,0.177,0.250,0.269,0.217,0.297,0.330,0.257,0.262,0.265,0.215,0.273,0.280,0.270,0.273
HD216770,5424,4.38,0.24,0.465,0.307,0.385,0.339,0.198,0.383,0.350,0.315,0.305,0.515,0.243,0.197,0.380,0.440,0.320
HD216777,5623,4.51,-0.38,-0.360,-0.290,-0.285,-0.319,-0.310,-0.310,-0.322,-0.278,-0.313,-0.338,-0.363,-0.333,-0.475,-0.354,-0.392
HD21693,5430,4.37,0.00,0.085,0.033,0.070,0.025,-0.005,0.047,0.005,0.057,0.008,0.140,0.025,-0.013,0.068,0.070,0.034
HD217221,5184,4.45,0.01,0.080,0.043,0.095,0.032,0.031,0.120,0.030,0.081,0.042,0.319,0.013,-0.037,0.012,0.126,0.024
HD217395,5916,4.52,-0.13,-0.130,-0.137,-0.160,-0.133,-0.085,-0.107,-0.128,-0.109,-0.127,-0.163,-0.127,-0.113,-0.188,-0.163,-0.171
HD21749,4723,4.40,-0.02,0.245,-0.030,0.270,-0.065,0.088,0.650,-0.065,0.280,-0.005,0.623,0.034,-0.187,-0.030,0.139,0.019
HD21759,5142,4.49,-0.61,-0.540,-0.473,-0.490,-0.555,-0.516,-0.510,-0.610,-0.396,-0.543,-0.373,-0.582,-0.610,-0.670,-0.554,-0.641
HD217786,5966,4.35,-0.14,-0.080,-0.063,0.055,-0.115,-0.089,-0.153,-0.062,-0.095,-0.122,-0.145,-0.145,-0.130,-0.190,-0.084,-0.137
HD217958,5970,4.45,0.28,0.425,0.187,0.345,0.307,0.250,0.453,0.522,0.350,0.305,0.424,0.270,0.417,0.428,0.450,0.346
HD218249,5009,4.52,-0.40,-0.310,-0.313,-0.225,-0.381,-0.298,-0.187,-0.383,-0.175,-0.337,0.024,-0.339,-0.423,-0.465,-0.306,-0.401
HD218340,5889,4.42,0.09,0.065,0.080,0.065,0.074,0.137,0.057,0.043,0.095,0.053,0.050,0.079,0.053,0.090,0.077,0.070
HD218379,5938,4.11,0.15,0.265,0.170,0.170,0.175,0.152,0.197,0.227,0.152,0.162,0.160,0.147,0.090,0.170,0.200,0.184
HD218504,5962,4.34,-0.55,-0.495,-0.370,-0.485,-0.435,-0.399,-0.390,-0.415,-0.390,-0.373,-0.514,-0.569,-0.530,-0.745,-0.536,-0.564
HD218511,4556,4.31,-0.10,0.010,-0.207,0.105,-0.108,-0.021,0.547,-0.110,0.161,-0.038,0.448,-0.078,-0.185,-0.163,0.061,-0.064
HD218572,4785,4.54,-0.56,-0.445,-0.317,-0.300,-0.527,-0.352,-0.020,-0.483,-0.185,-0.460,0.066,-0.456,-0.637,-0.655,-0.429,-0.557
HD218750,5166,4.39,0.08,0.150,0.187,0.245,0.113,0.074,0.293,0.155,0.251,0.217,0.519,0.101,0.060,0.115,0.254,0.106
HD218885,5763,4.46,-0.28,-0.285,-0.237,-0.315,-0.246,-0.227,-0.353,-0.323,-0.232,-0.227,-0.271,-0.250,-0.210,-0.360,-0.301,-0.336
HD219077,5362,4.00,-0.13,-0.140,-0.017,0.045,-0.073,-0.059,-0.053,-0.015,0.003,0.035,0.031,-0.104,-0.117,0.008,-0.040,-0.130
HD219249,5482,4.50,-0.40,-0.340,-0.320,-0.340,-0.352,-0.335,-0.357,-0.405,-0.304,-0.375,-0.346,-0.377,-0.363,-0.480,-0.383,-0.414
