Star,Teff,logg,[Fe/H],[Na/H],[Mg/H],[Al/H],[Si/H],[Ca/H],[ScI/H],[ScII/H],[TiI/H],[TiII/H],[V/H],[CrI/H],[CrII/H],[Mn/H],[Co/H],[Ni/H]
HD90722,5711,4.28,0.31,0.455,0.330,0.375,0.345,0.268,0.373,0.405,0.298,0.332,0.400,0.311,0.287,0.510,0.453,0.368
HD90812,5164,4.48,-0.36,-0.295,-0.280,-0.225,-0.295,-0.294,-0.257,-0.325,-0.224,-0.343,-0.120,-0.338,-0.323,-0.398,-0.291,-0.357
HD90926,5538,4.35,0.13,0.200,0.140,0.170,0.147,0.122,0.167,0.155,0.174,0.063,0.249,0.132,0.117,0.205,0.239,0.154
HD90936,5928,4.48,0.03,0.050,-0.010,-0.010,0.051,0.039,0.040,0.035,0.030,0.018,0.009,0.026,0.003,0.013,0.023,0.025
HD91267,4928,4.48,-0.06,0.060,-0.020,0.055,-0.063,-0.106,0.247,-0.020,0.130,-0.107,0.473,-0.052,-0.073,-0.078,0.101,-0.035
HD91345,5658,4.53,-1.04,-0.960,-0.717,-0.880,-0.677,-0.724,-0.890,-0.984,-0.746,-0.760,-1.006,-1.012,-0.887,-1.443,-0.946,-1.044
HD91379,6164,4.41,-0.29,-0.250,-0.297,-0.425,-0.279,-0.248,-0.205,-0.283,-0.210,-0.268,-0.299,-0.324,-0.237,-0.470,-0.270,-0.364
HD9246,4999,4.49,-0.53,-0.445,-0.433,-0.400,-0.501,-0.403,-0.350,-0.547,-0.322,-0.525,-0.151,-0.477,-0.543,-0.635,-0.474,-0.555
HD92547,6020,4.45,-0.37,-0.375,-0.307,-0.345,-0.312,-0.284,-0.235,-0.265,-0.253,-0.272,-0.294,-0.383,-0.353,-0.528,-0.303,-0.365
HD92588,5199,3.79,0.04,0.075,0.087,0.085,0.044,0.042,0.103,0.067,0.118,0.175,0.293,0.053,0.010,0.140,0.140,0.047
HD92719,5824,4.51,-0.10,-0.125,-0.077,-0.110,-0.095,-0.063,-0.070,-0.102,-0.058,-0.077,-0.096,-0.089,-0.123,-0.163,-0.127,-0.131
HD92788,5744,4.39,0.27,0.390,0.290,0.320,0.312,0.245,0.353,0.345,0.299,0.283,0.370,0.283,0.283,0.368,0.393,0.336
HD93083,5105,4.43,0.09,0.235,0.240,0.270,0.121,0.034,0.357,0.110,0.223,0.102,0.520,0.109,0.013,0.115,0.229,0.096
HD93351,5408,4.41,-0.23,-0.265,-0.170,-0.100,-0.193,-0.199,-0.160,-0.163,-0.142,-0.178,-0.140,-0.222,-0.193,-0.273,-0.193,-0.240
HD93380,4649,4.35,-0.72,-0.360,-0.663,-0.390,-0.743,-0.402,0.083,-0.843,-0.230,-0.808,0.133,-0.520,-1.025,-0.813,-0.554,-0.727
HD93385,5977,4.42,0.02,0.065,0.033,0.020,0.045,0.043,0.090,0.062,0.034,0.055,0.010,0.005,-0.007,-0.003,0.027,0.032
HD93745,6065,4.34,0.12,0.170,0.093,0.170,0.105,0.123,0.123,0.177,0.123,0.162,0.141,0.107,0.090,0.130,0.151,0.139
HD93932,5950,4.30,0.05,0.145,0.230,0.085,0.055,0.066,0.107,0.102,0.064,0.068,0.058,0.042,0.050,0.075,0.120,0.076
HD94151,5583,4.38,0.04,0.100,0.067,0.065,0.051,0.039,0.060,0.047,0.058,0.110,0.083,0.052,0.017,0.098,0.080,0.061
HD94444,5998,4.34,-0.62,-0.620,-0.487,-0.680,-0.520,-0.481,99.99,-0.585,-0.514,-0.488,-0.640,-0.605,-0.640,-0.808,-0.622,-0.665
HD94771,5631,4.03,0.22,0.285,0.253,0.290,0.235,0.197,0.273,0.317,0.277,0.275,0.303,0.216,0.170,0.323,0.320,0.257
HD94964,6139,4.55,-0.07,-0.170,0.087,-0.205,-0.061,0.023,0.055,-0.010,0.019,0.046,-0.067,-0.086,-0.090,-0.245,-0.035,-0.115
HD95456,6276,4.35,0.16,0.180,0.117,0.110,0.154,0.177,0.247,0.188,0.158,0.173,0.126,0.152,0.167,0.143,0.120,0.155
HD95521,5773,4.49,-0.15,-0.155,-0.173,-0.150,-0.144,-0.101,-0.110,-0.147,-0.083,-0.117,-0.151,-0.134,-0.157,-0.238,-0.174,-0.177
HD95533,5366,4.36,0.16,0.215,0.193,0.245,0.161,0.145,0.243,0.213,0.268,0.180,0.426,0.165,0.133,0.288,0.309,0.179
HD95542,5984,4.52,-0.04,-0.120,-0.070,-0.120,-0.057,-0.004,0.003,-0.068,-0.018,-0.037,-0.085,-0.043,-0.067,-0.100,-0.107,-0.103
HD9578,6055,4.52,0.11,0.045,0.067,0.055,0.079,0.139,0.157,0.095,0.118,0.103,0.095,0.125,0.093,0.050,0.059,0.083
HD95860,6054,4.48,-0.31,-0.245,-0.233,-0.295,-0.259,-0.225,-0.237,-0.198,-0.187,-0.192,-0.296,-0.297,-0.327,-0.410,-0.310,-0.314
HD95922,6293,4.63,-0.06,-0.190,-0.027,-0.570,-0.106,-0.037,0.107,-0.078,-0.032,-0.042,-0.071,-0.052,-0.127,-0.218,-0.100,-0.129
HD9608,5954,4.43,-0.26,-0.270,-0.213,-0.325,-0.240,-0.195,-0.240,-0.214,-0.198,-0.232,-0.310,-0.269,-0.240,-0.373,-0.246,-0.269
HD96116,5832,4.52,-0.01,-0.080,-0.050,-0.065,-0.032,0.018,0.007,-0.033,0.006,-0.035,-0.027,0.004,0.003,-0.003,-0.079,-0.058
HD96276,6080,4.49,-0.02,0.000,-0.047,-0.015,-0.047,-0.004,0.113,-0.013,0.005,0.007,-0.053,-0.046,-0.040,-0.095,-0.007,-0.042
HD96290,6219,4.56,0.03,0.005,-0.033,0.060,0.026,0.044,0.053,0.020,0.030,0.000,0.004,0.031,0.020,-0.103,-0.016,0.015
HD96423,5711,4.35,0.10,0.150,0.147,0.165,0.121,0.118,0.147,0.160,0.134,0.115,0.143,0.105,0.043,0.125,0.154,0.126
HD96673,4788,4.38,-0.13,0.055,-0.110,0.130,-0.169,-0.081,0.327,-0.162,0.111,0.148,0.435,-0.067,-0.173,-0.125,-0.016,-0.096
HD967,5568,4.53,-0.68,-0.555,-0.343,-0.400,-0.451,-0.448,-0.500,-0.522,-0.358,-0.397,-0.526,-0.653,-0.583,-0.890,-0.563,-0.651
HD96700,5845,4.39,-0.18,-0.175,-0.110,-0.145,-0.151,-0.134,-0.117,-0.128,-0.142,-0.118,-0.209,-0.177,-0.167,-0.273,-0.207,-0.208
HD97037,5883,4.34,-0.07,-0.085,-0.030,-0.040,-0.055,-0.032,-0.060,-0.010,-0.027,-0.027,-0.064,-0.077,-0.057,-0.103,-0.070,-0.092
HD97320,6165,4.57,-1.05,-0.885,-0.833,99.99,-0.881,-0.826,99.99,-0.936,-0.776,-0.798,-0.880,-1.099,-1.047,-1.413,-0.937,-1.051
HD97343,5410,4.39,-0.06,-0.020,0.060,0.090,0.000,-0.011,0.040,0.010,0.075,-0.032,0.133,-0.038,-0.097,-0.065,0.026,-0.057
HD97783,5682,4.50,-0.73,-0.630,-0.407,-0.500,-0.496,-0.486,-0.543,-0.568,-0.428,-0.415,-0.625,-0.701,-0.637,-1.000,-0.611,-0.717
HD9782,6023,4.42,0.09,0.135,0.080,0.040,0.092,0.097,0.130,0.107,0.076,0.092,0.054,0.090,0.063,0.103,0.084,0.096
HD9796,5179,4.38,-0.25,-0.140,-0.167,-0.105,-0.199,-0.133,-0.100,-0.237,-0.121,-0.283,0.002,-0.216,-0.227,-0.248,-0.183,-0.255
HD97998,5716,4.57,-0.42,-0.335,-0.340,-0.345,-0.387,-0.355,-0.373,-0.373,-0.318,-0.348,-0.388,-0.404,-0.397,-0.495,-0.396,-0.433
HD98281,5381,4.42,-0.26,-0.215,-0.160,-0.145,-0.203,-0.203,-0.180,-0.252,-0.140,-0.213,-0.118,-0.223,-0.240,-0.268,-0.193,-0.259
HD98284,5913,4.52,-0.84,-0.725,-0.590,-0.865,-0.616,-0.608,-0.495,-0.617,-0.576,-0.592,-0.743,-0.836,-0.790,-1.093,-0.647,-0.828
HD98356,5322,4.41,0.10,0.210,0.097,0.135,0.113,0.082,0.167,0.078,0.161,0.092,0.354,0.131,0.043,0.195,0.203,0.123
HIP102025,4684,4.32,-0.28,-0.190,-0.283,-0.085,-0.321,-0.192,0.050,-0.370,-0.091,-0.242,0.203,-0.226,-0.277,-0.360,-0.257,-0.305
HIP102964,4797,4.43,-0.23,-0.185,-0.327,-0.100,-0.201,-0.085,0.053,-0.303,-0.018,-0.298,0.221,-0.196,-0.320,-0.345,-0.169,-0.255
HIP103867,4559,4.14,-0.45,-0.245,-0.310,-0.330,-0.549,-0.135,0.233,-0.603,-0.097,-0.447,0.175,-0.299,-0.460,-0.620,-0.389,-0.487
HIP104856,5023,4.43,-0.24,-0.130,-0.120,-0.015,-0.223,-0.122,0.070,-0.157,0.057,-0.162,0.323,-0.151,-0.117,-0.185,-0.094,-0.207
HIP105506,4840,4.37,-0.01,0.075,-0.027,0.175,-0.045,0.070,0.477,0.000,0.228,-0.063,0.621,0.028,-0.010,0.000,0.139,-0.006
HIP10741,4859,4.40,-0.15,0.045,-0.120,0.020,-0.090,-0.083,0.240,-0.197,0.100,-0.195,0.419,-0.088,-0.210,-0.140,-0.017,-0.137
HIP108216,4830,4.53,-0.51,-0.220,-0.317,-0.015,-0.482,-0.213,0.420,-0.437,0.040,-0.300,0.333,-0.304,-0.530,-0.725,-0.224,-0.477
HIP109149,4960,4.43,-0.12,-0.160,-0.193,-0.210,-0.119,-0.095,0.033,-0.173,0.026,-0.092,0.310,-0.080,-0.160,-0.120,-0.116,-0.148
HIP109421,4576,4.42,-0.27,0.010,-0.417,-0.060,-0.448,-0.120,0.503,-0.315,0.077,-0.317,0.374,-0.176,-0.265,-0.398,-0.180,-0.253
HIP113596,4580,4.25,-0.21,0.140,-0.203,0.100,-0.194,-0.121,0.517,-0.272,0.090,-0.312,0.384,-0.096,-0.413,-0.275,0.016,-0.169
HIP116374,4626,4.31,0.01,-0.005,-0.153,0.215,-0.055,0.065,0.697,-0.060,0.296,-0.090,0.556,0.042,-0.035,-0.048,0.117,-0.013
HIP116939,4984,4.35,-0.07,0.065,-0.067,-0.040,-0.087,-0.084,0.060,-0.112,0.040,-0.165,0.343,-0.059,-0.110,-0.022,0.036,-0.042
HIP12147,5050,4.50,-0.32,-0.270,-0.273,-0.220,-0.319,-0.251,-0.157,-0.332,-0.089,-0.307,0.072,-0.266,-0.363,-0.345,-0.283,-0.337
HIP15587,5239,4.46,-0.12,-0.045,-0.003,-0.045,-0.105,-0.122,-0.060,-0.128,-0.013,-0.132,0.143,-0.097,-0.133,-0.085,-0.063,-0.134
HIP16094,4877,4.44,-0.04,0.035,-0.103,0.070,-0.083,-0.042,0.287,-0.035,0.185,-0.068,0.504,-0.009,-0.080,-0.053,0.047,-0.052
HIP17346,4699,4.32,-0.16,0.085,-0.153,0.145,-0.163,0.011,0.577,-0.177,0.205,-0.250,0.484,-0.076,-0.307,-0.148,0.034,-0.124
HIP1745,5416,4.39,-0.44,-0.410,-0.360,-0.285,-0.391,-0.351,-0.390,-0.398,-0.315,-0.437,-0.385,-0.409,-0.423,-0.540,-0.390,-0.464
HIP18918,4572,4.28,-0.20,0.055,-0.203,0.000,-0.161,-0.022,0.467,-0.275,0.094,-0.302,0.383,-0.134,-0.430,-0.243,-0.051,-0.188
HIP20444,4907,4.41,-0.12,0.090,-0.100,0.085,-0.079,-0.108,0.300,-0.130,0.140,-0.090,0.464,-0.040,-0.077,-0.095,0.019,-0.086
HIP21539,4578,4.33,-0.33,-0.165,-0.367,-0.155,-0.364,-0.262,0.263,-0.417,-0.042,-0.198,0.246,-0.277,-0.433,-0.515,-0.186,-0.317
HIP21934,4674,4.19,0.03,0.495,0.027,0.470,0.068,0.237,0.867,-0.025,0.383,-0.067,0.709,0.194,-0.095,0.103,0.310,0.098
HIP22059,4741,4.40,-0.32,-0.240,-0.310,-0.190,-0.355,-0.184,0.070,-0.482,-0.079,-0.272,0.174,-0.225,-0.467,-0.425,-0.286,-0.353
HIP25612,4571,4.35,-0.50,-0.230,-0.487,-0.215,-0.518,-0.265,0.290,-0.525,-0.157,-0.430,0.116,-0.400,-0.735,-0.638,-0.379,-0.507
HIP26013,4891,4.41,0.02,0.255,0.020,0.195,0.053,0.093,0.393,-0.043,0.190,-0.078,0.538,0.052,-0.047,0.035,0.146,0.061
HIP26542,4750,4.48,-0.54,-0.345,-0.537,-0.325,-0.540,-0.358,-0.027,-0.562,-0.173,-0.432,0.073,-0.394,-0.607,-0.628,-0.464,-0.543
HIP31639,5400,4.53,-0.54,-0.450,-0.280,-0.250,-0.379,-0.346,-0.310,-0.368,-0.205,-0.273,-0.298,-0.502,-0.390,-0.705,-0.359,-0.496
HIP32127,5302,4.44,-0.64,-0.545,-0.347,-0.325,-0.453,-0.442,-0.383,-0.508,-0.310,-0.467,-0.405,-0.579,-0.637,-0.823,-0.519,-0.625
HIP32812,4977,4.41,-0.02,0.150,-0.240,0.140,0.017,0.002,0.293,-0.018,0.172,0.043,0.496,0.003,-0.070,0.030,0.141,0.018
HIP33392,4986,4.54,-0.09,0.070,0.003,0.135,-0.075,-0.033,0.237,-0.085,0.113,-0.068,0.404,-0.044,-0.143,-0.123,0.041,-0.082
HIP35992,4939,4.25,-0.02,0.095,0.147,0.085,0.019,0.001,0.083,-0.100,0.055,-0.037,0.366,-0.004,-0.023,0.033,0.059,-0.011
HIP36347,4719,4.38,-0.05,0.175,-0.133,0.495,-0.092,0.098,0.513,-0.115,0.203,-0.108,0.545,0.007,-0.253,-0.118,0.076,-0.035
HIP38324,4615,4.39,-0.30,-0.075,-0.427,-0.020,-0.419,-0.138,0.440,-0.373,0.044,-0.405,0.431,-0.169,-0.405,-0.518,-0.143,-0.274
HIP39470,4571,4.40,-0.39,-0.340,-0.463,-0.355,-0.459,-0.262,0.150,-0.540,-0.131,-0.473,0.136,-0.315,-0.465,-0.473,-0.402,-0.401
HIP41659,5197,4.38,-0.53,-0.375,-0.247,-0.155,-0.371,-0.345,-0.243,-0.398,-0.147,-0.348,-0.148,-0.466,-0.587,-0.680,-0.401,-0.497
HIP45301,4788,4.46,-0.12,0.055,-0.130,0.070,-0.109,-0.032,0.363,-0.133,0.166,-0.120,0.501,-0.065,-0.190,-0.150,-0.006,-0.081
HIP46933,4487,4.22,-0.24,-0.155,-0.243,-0.170,-0.291,-0.223,0.250,-0.410,-0.041,-0.313,0.265,-0.218,-0.345,-0.470,-0.160,-0.256
HIP5114,4846,4.39,-0.69,-0.370,-0.527,-0.380,-0.637,-0.469,-0.187,-0.695,-0.287,-0.667,-0.054,-0.483,-0.720,-0.765,-0.504,-0.645
HIP5158,4813,4.32,0.17,0.445,0.180,0.395,0.160,0.238,0.753,0.100,0.414,0.092,0.774,0.194,0.077,0.203,0.384,0.246
HIP54446,4992,4.51,-0.18,-0.185,-0.273,-0.225,-0.188,-0.200,-0.160,-0.205,-0.074,-0.257,0.100,-0.177,-0.193,-0.263,-0.227,-0.251
HIP54597,4799,4.43,-0.22,0.000,-0.127,0.045,-0.242,-0.095,0.350,-0.222,0.072,-0.283,0.410,-0.149,-0.280,-0.238,-0.057,-0.187
HIP57688,4712,4.32,-0.14,-0.035,-0.290,-0.075,-0.167,-0.065,0.250,-0.172,0.105,-0.068,0.396,-0.107,-0.120,-0.180,-0.083,-0.153
HIP58348,4828,4.34,0.00,0.165,0.003,0.195,0.027,0.097,0.497,0.023,0.248,-0.048,0.585,0.045,-0.080,0.025,0.197,0.040
HIP59925,4590,4.40,-0.26,-0.150,-0.333,-0.220,-0.336,-0.218,0.240,-0.353,-0.018,-0.242,0.259,-0.238,-0.380,-0.395,-0.211,-0.282
HIP61406,4855,4.42,0.03,0.350,0.043,0.355,0.019,0.121,0.693,-0.058,0.307,-0.013,0.667,0.123,-0.077,0.052,0.259,0.081
HIP64965,4888,4.78,-1.03,-0.880,-0.993,-0.610,-0.879,-0.631,-0.283,-0.977,-0.367,-0.927,-0.209,-0.711,-0.995,-1.248,-0.733,-1.050
HIP67126,4681,4.20,-0.19,0.035,-0.163,0.030,-0.193,-0.102,0.373,-0.212,0.078,-0.277,0.411,-0.102,-0.185,-0.183,-0.031,-0.154
HIP69224,5005,4.30,-0.14,-0.055,-0.067,0.000,-0.123,-0.099,0.017,-0.132,0.022,-0.198,0.300,-0.116,-0.127,-0.095,-0.040,-0.150
HIP7058,4749,4.55,-0.10,0.200,-0.163,0.310,-0.169,-0.006,0.673,-0.045,0.278,-0.080,0.616,-0.004,-0.350,-0.130,0.126,-0.067
HIP7743,4692,4.39,-0.17,0.140,-0.167,0.060,-0.131,-0.095,0.537,-0.137,0.167,-0.152,0.464,-0.077,-0.347,-0.230,-0.009,-0.131
HIP78242,5244,4.40,-0.01,0.080,0.007,0.065,-0.001,-0.010,0.103,-0.035,0.100,-0.055,0.294,0.027,-0.083,0.028,0.091,-0.012
HIP80083,4800,4.78,-0.80,-0.380,-0.543,-0.265,-0.780,-0.293,0.390,-0.638,0.019,-0.608,0.240,-0.556,-0.835,-0.905,-0.486,-0.787
HIP88316,5159,4.38,-0.01,0.085,0.107,0.195,0.053,-0.011,0.183,0.115,0.201,0.072,0.439,0.017,0.017,0.040,0.190,-0.004
HIP9398,4734,4.49,-0.43,-0.020,-0.257,0.105,-0.573,-0.098,0.630,-0.357,0.179,-0.363,0.416,-0.209,-0.590,-0.728,-0.186,-0.410
HIP96240,4849,4.47,-0.15,-0.135,-0.227,-0.105,-0.148,-0.097,0.033,-0.245,-0.002,-0.122,0.288,-0.146,-0.243,-0.193,-0.121,-0.162
HIP98764,4912,4.44,-0.28,0.015,-0.220,-0.195,-0.325,-0.236,-0.077,-0.335,-0.070,-0.305,0.180,-0.216,-0.350,-0.278,-0.264,-0.326
HIP99606B,5764,4.19,-0.41,-0.320,-0.117,-0.245,-0.263,-0.257,-0.437,-0.202,-0.213,-0.215,-0.326,-0.413,-0.360,-0.555,-0.214,-0.416
